neighbourhood,listings_count,median_price_eur_per_night,average_price_eur_per_night,median_distance_km,entire_home_share,available_during_oktoberfest_count,price_unit,oktoberfest_availability_share,budget_distance_score
Sendling-Westpark,219,162.0,201.55707762557077,2.5747063328932245,0.5799086757990868,144,EUR per night,0.6575342465753424,187.74706332893226
Obergiesing,192,154.0,192.34895833333334,3.544040945905243,0.6927083333333334,128,EUR per night,0.6666666666666666,189.44040945905243
Laim,171,160.0,194.37426900584796,3.157166316149756,0.5672514619883041,129,EUR per night,0.7543859649122807,191.57166316149755
Untergiesing-Harlaching,179,160.0,194.35754189944134,3.206738918726538,0.6983240223463687,123,EUR per night,0.6871508379888268,192.06738918726538
Ramersdorf-Perlach,218,132.0,174.3119266055046,6.104205728108964,0.555045871559633,150,EUR per night,0.6880733944954128,193.04205728108963
Pasing-Obermenzing,158,126.0,171.3860759493671,6.76668124419402,0.6455696202531646,109,EUR per night,0.689873417721519,193.66681244194018
Berg am Laim,106,134.0,203.78301886792454,6.083837516113652,0.5,75,EUR per night,0.7075471698113207,194.83837516113653
Milbertshofen-Am Hart,226,135.0,176.93805309734512,6.036451595432932,0.6504424778761062,159,EUR per night,0.7035398230088495,195.3645159543293
Schwabing-West,348,158.5,212.54885057471265,3.8232105464413944,0.7040229885057471,217,EUR per night,0.6235632183908046,196.73210546441393
Hadern,72,150.5,188.68055555555554,4.87833006003426,0.5416666666666666,49,EUR per night,0.6805555555555556,199.2833006003426
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,247,146.0,193.43724696356276,5.409301012381469,0.6356275303643725,166,EUR per night,0.6720647773279352,200.09301012381468
Feldmoching-Hasenbergl,98,128.5,175.40816326530611,7.700002633585676,0.42857142857142855,71,EUR per night,0.7244897959183674,205.50002633585677
Moosach,110,148.5,179.46363636363637,6.028884979624413,0.6454545454545455,70,EUR per night,0.6363636363636364,208.78884979624414
Neuhausen-Nymphenburg,306,180.5,219.74183006535947,2.896851076812405,0.6895424836601307,214,EUR per night,0.6993464052287581,209.46851076812405
Schwabing-Freimann,272,169.0,204.82720588235293,5.4964814681377,0.6617647058823529,188,EUR per night,0.6911764705882353,223.964814681377
Bogenhausen,249,163.0,204.09638554216866,6.121045473028994,0.6385542168674698,165,EUR per night,0.6626506024096386,224.21045473028994
Tudering-Riem,188,127.5,169.93617021276594,9.905326021912543,0.2925531914893617,132,EUR per night,0.7021276595744681,226.55326021912543
Sendling,178,211.5,235.87078651685394,1.6494312884636466,0.6910112359550562,122,EUR per night,0.6853932584269663,227.99431288463646
Au-Haidhausen,291,200.0,243.9553264604811,3.2097256603586852,0.7835051546391752,199,EUR per night,0.6838487972508591,232.09725660358686
Allach-Untermenzing,85,144.0,183.03529411764706,8.927221082964648,0.5176470588235295,58,EUR per night,0.6823529411764706,233.2722108296465
Aubing-Lochhausen-Langwied,154,139.0,166.14285714285714,10.44461788471633,0.8376623376623377,57,EUR per night,0.37012987012987014,243.4461788471633
Maxvorstadt,419,225.0,268.4200477326969,2.503456881880197,0.7446300715990454,281,EUR per night,0.6706443914081146,250.03456881880197
Schwanthalerhöhe,182,244.0,293.8296703296703,0.9176363039956176,0.7252747252747253,133,EUR per night,0.7307692307692307,253.1763630399562
Ludwigsvorstadt-Isarvorstadt,628,270.0,335.2229299363057,1.0444292916727798,0.7117834394904459,423,EUR per night,0.6735668789808917,280.4442929167278
Altstadt-Lehel,202,315.0,369.8712871287129,2.300556786094333,0.698019801980198,135,EUR per night,0.6683168316831684,338.0055678609433
